timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-15 15:01:21,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,1,5.42,6.41,40.1,5.4,2.16,265.11,1.67,34.92,59.0,1005.0,1.34,296.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:19,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,1,9.75,13.18,51.78,4.2,1.31,266.8,2.74,33.55,57.0,1005.0,2.88,267.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:18,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,1,9.28,11.87,42.37,5.97,1.5,316.08,3.05,32.38,61.0,1005.0,2.44,242.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:17,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,2,14.57,17.2,27.94,11.72,3.15,533.56,5.06,33.75,64.0,1005.0,5.66,280.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:15,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,6.38,9.11,59.46,0.26,0.17,150.71,0.0,31.75,70.0,1007.0,3.09,240.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:14,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,5.15,7.88,59.54,0.19,0.1,145.8,0.0,30.55,69.0,1006.0,7.06,229.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:13,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,4.11,6.28,55.32,0.15,0.07,134.54,0.0,33.11,55.0,1005.0,5.42,244.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:11,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,2.9,5.73,47.27,0.16,0.13,104.3,0.0,33.55,52.0,1006.0,4.25,274.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:10,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,2.42,4.99,48.98,0.21,0.1,110.21,0.07,30.6,70.0,1006.0,4.61,181.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:09,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,3.43,5.84,50.32,0.79,0.27,134.6,0.48,31.77,65.0,1006.0,2.08,208.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:08,Tra Vinh,Tra Vinh,Tra Vinh (openweathermap),9.9514,106.3431,1,8.47,12.27,55.72,2.45,0.95,208.35,1.92,32.44,63.0,1006.0,2.34,273.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:06,Vinh Long,Vinh Long,Vinh Long (openweathermap),10.2397,105.9722,1,4.75,6.51,48.66,2.16,0.6,184.32,1.29,32.06,64.0,1006.0,3.82,256.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:05,Sa Dec,Dong Thap,Sa Dec (openweathermap),10.2922,105.7592,1,2.25,3.18,47.11,1.15,0.25,143.33,0.58,33.97,64.0,1006.0,5.54,247.0,10000.0,Rain,openweathermap,
2025-06-15 15:01:04,Cao Lanh,Dong Thap,Cao Lanh (openweathermap),10.4592,105.6325,1,2.48,3.37,47.14,1.23,0.27,151.95,0.68,31.6,64.0,1006.0,5.44,236.0,10000.0,Rain,openweathermap,
2025-06-15 15:01:03,Tuy Hoa,Phu Yen,Tuy Hoa (openweathermap),13.0833,109.3,1,6.85,8.14,13.24,7.15,1.41,331.71,2.47,34.09,53.0,1004.0,3.3,128.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:01,Quang Ngai,Quang Ngai,Quang Ngai (openweathermap),15.1194,108.7922,1,1.34,1.42,27.2,0.72,0.13,141.04,0.32,32.83,65.0,1003.0,3.53,99.0,10000.0,Clouds,openweathermap,
2025-06-15 15:01:00,Tam Ky,Quang Nam,Tam Ky (openweathermap),15.5736,108.4736,1,0.62,0.66,26.14,0.59,0.08,116.71,0.2,32.21,65.0,1003.0,4.32,84.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:59,Hoi An,Quang Nam,Hoi An (openweathermap),15.8801,108.338,1,0.69,0.75,20.04,0.65,0.1,109.56,0.19,35.0,68.0,1003.0,5.03,85.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:57,Dong Ha,Quang Tri,Dong Ha (openweathermap),16.8167,107.1,1,2.65,2.75,28.95,0.5,0.14,107.83,0.49,33.56,67.0,1002.0,5.64,229.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:56,Dong Hoi,Quang Binh,Dong Hoi (openweathermap),17.4833,106.6,2,12.49,12.68,43.16,0.64,0.18,146.45,1.02,32.07,69.0,1002.0,5.98,208.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:55,Thanh Hoa,Thanh Hoa,Thanh Hoa (openweathermap),19.8067,105.7851,1,5.28,5.4,36.13,0.52,0.08,183.58,0.41,35.31,56.0,999.0,5.14,127.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:54,Viet Tri,Phu Tho,Viet Tri (openweathermap),21.3227,105.4024,1,2.43,2.66,28.65,0.59,0.17,118.34,0.67,36.09,52.0,999.0,1.57,131.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:52,Uong Bi,Quang Ninh,Uong Bi (openweathermap),21.0358,106.7733,2,19.78,22.39,63.51,2.95,2.69,217.54,3.81,33.95,61.0,1001.0,4.38,151.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:51,Hung Yen,Hung Yen,Hung Yen (openweathermap),20.6464,106.0511,1,8.44,9.29,42.23,1.68,1.21,174.92,2.44,37.82,47.0,999.0,1.23,148.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:50,Hai Duong,Hai Duong,Hai Duong (openweathermap),20.9373,106.3145,2,10.97,12.39,47.82,3.01,2.4,200.32,4.21,36.92,50.0,999.0,1.89,165.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:49,Bac Ninh,Bac Ninh,Bac Ninh (openweathermap),21.1861,106.0763,1,8.9,9.91,43.16,1.91,1.34,173.12,2.81,35.03,47.0,999.0,1.82,228.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:47,Ha Long,Quang Ninh,Ha Long (openweathermap),20.95,107.0833,3,29.32,33.24,74.94,0.8,0.92,210.53,1.98,31.56,72.0,1001.0,4.25,168.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:46,Ninh Binh,Ninh Binh,Ninh Binh (openweathermap),20.2506,105.9756,1,5.33,5.52,43.23,0.52,0.21,152.26,0.72,36.33,52.0,999.0,4.76,156.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:45,Nam Dinh,Nam Dinh,Nam Dinh (openweathermap),20.4389,106.1621,1,7.87,8.43,44.66,1.12,0.78,165.65,1.7,35.58,56.0,999.0,5.3,157.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:43,Thai Nguyen,Thai Nguyen,Thai Nguyen (openweathermap),21.5944,105.8487,1,5.12,5.55,41.86,0.94,0.44,127.88,1.36,34.5,61.0,1000.0,1.55,33.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:42,Phan Thiet,Binh Thuan,Phan Thiet (openweathermap),10.9289,108.1022,2,17.49,20.28,62.8,1.46,0.66,211.63,0.7,33.53,57.0,1004.0,6.88,240.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:41,Dalat,Lam Dong,Dalat (openweathermap),11.9404,108.4583,2,13.39,14.46,49.72,6.15,2.18,288.79,0.87,23.2,77.0,1008.0,1.23,279.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:40,Pleiku,Gia Lai,Pleiku (openweathermap),13.9833,108.0,1,1.96,2.07,27.8,0.53,0.06,135.98,0.13,27.64,68.0,1006.0,3.98,254.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:39,Rach Gia,Kien Giang,Rach Gia (openweathermap),10.0128,105.08,1,4.62,7.86,57.4,0.12,0.08,139.67,0.0,30.06,69.0,1007.0,5.42,253.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:37,Vinh,Nghe An,Vinh (openweathermap),18.6699,105.6816,2,12.72,12.95,38.98,1.5,0.26,244.66,0.84,34.86,57.0,1000.0,2.61,151.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:36,My Tho,Tien Giang,My Tho (openweathermap),10.36,106.3597,1,9.75,13.18,51.78,4.2,1.31,266.8,2.74,32.65,59.0,1005.0,2.52,252.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:35,Long Xuyen,An Giang,Long Xuyen (openweathermap),10.3861,105.4348,1,2.98,4.56,50.29,0.81,0.19,141.55,0.39,31.52,63.0,1006.0,5.66,234.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:34,Thu Dau Mot,Binh Duong,Thu Dau Mot (openweathermap),10.9804,106.6519,2,14.57,17.2,27.94,11.72,3.15,533.56,5.06,34.01,59.0,1005.0,5.66,280.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:32,Vung Tau,Ba Ria Vung Tau,Vung Tau (openweathermap),10.4113,107.1364,2,11.11,13.89,42.96,6.18,1.59,333.69,3.13,31.11,70.0,1006.0,4.4,208.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:31,Quy Nhon,Binh Dinh,Quy Nhon (openweathermap),13.7563,109.2297,1,1.52,1.65,32.71,0.52,0.17,112.52,0.33,32.43,62.0,1004.0,5.4,138.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:30,Buon Ma Thuot,Dak Lak,Buon Ma Thuot (openweathermap),12.6667,108.05,1,6.02,6.44,32.07,2.18,0.4,204.56,0.65,29.86,66.0,1006.0,2.33,303.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:28,Nha Trang,Khanh Hoa,Nha Trang (openweathermap),12.2388,109.1967,2,12.38,13.99,46.09,2.12,0.66,203.13,0.52,34.01,64.0,1005.0,2.81,136.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:27,Hue,Thua Thien Hue,Hue (openweathermap),16.4637,107.5909,1,0.64,0.7,23.88,0.32,0.12,87.59,0.22,33.05,66.0,1003.0,3.09,100.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:26,Bien Hoa,Dong Nai,Bien Hoa (openweathermap),10.946,106.8234,2,18.84,22.24,23.58,14.65,3.89,655.7,6.46,33.94,61.0,1005.0,1.73,328.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:25,Hai Phong,Hai Phong,Hai Phong (openweathermap),20.8449,106.6881,2,20.31,23.2,65.27,1.72,1.57,205.86,3.04,33.97,66.0,1001.0,5.66,160.0,10000.0,Clear,openweathermap,
2025-06-15 15:00:24,Can Tho,Can Tho,Can Tho (openweathermap),10.0452,105.7469,1,2.02,3.0,47.07,1.06,0.22,134.7,0.48,34.01,66.0,1006.0,2.57,270.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:22,Da Nang,Da Nang,Da Nang (openweathermap),16.0544,108.2022,1,0.7,0.76,17.67,0.7,0.11,105.76,0.21,35.0,55.0,1003.0,2.57,240.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:21,Hanoi,Hanoi,Hanoi (openweathermap),21.0285,105.8542,1,6.41,7.13,35.29,1.3,0.76,154.87,1.89,34.97,47.0,999.0,2.12,232.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:20,Ho Chi Minh City,Ho Chi Minh,Ho Chi Minh City (openweathermap),10.8231,106.6297,2,14.57,17.2,27.94,11.72,3.15,533.56,5.06,34.0,59.0,1005.0,5.66,280.0,10000.0,Clouds,openweathermap,
2025-06-15 15:00:17,Ben Tre,Ben Tre,Ben Tre (waqi),10.2431,106.3756,3,3.0,2.0,5.0,3.0,24.0,2.0,,,,,,,,,waqi,success
2025-06-15 15:00:17,Di An,Binh Duong,Di An (waqi),10.9069,106.7722,26,11.0,26.0,,13.0,,,,,,,,,,,waqi,success
2025-06-15 15:00:17,Tan An,Long An,Tan An (waqi),10.5439,106.4108,26,11.0,26.0,,13.0,,,,,,,,,,,waqi,success
2025-06-15 15:00:17,Tay Ninh,Tay Ninh,Tay Ninh (waqi),11.31,106.0983,26,11.0,26.0,,13.0,,,,,,,,,,,waqi,success
2025-06-15 15:00:16,Bac Lieu,Bac Lieu,Bac Lieu (waqi),9.2847,105.7244,24,16.0,24.0,11.0,25.0,,10.0,,,,,,,,,waqi,success
2025-06-15 15:00:16,Ca Mau,Ca Mau,Ca Mau (waqi),9.1767,105.1525,24,16.0,24.0,11.0,25.0,,10.0,,,,,,,,,waqi,success
